item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数
16651,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット80×30_3段\amazon\a_bk.jpg,キャビット3段,ブラック,BLACK,キャビット3段,6
16652,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット80×30_3段\amazon\a_wh.jpg,キャビット3段,ホワイト,WHITE,キャビット3段,6
17142,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット100×40_3段\amazon\a_bk.jpg,キャビット3段100cm×40cm,ブラック,BLACK,キャビット3段,6
17143,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット100×40_3段\amazon\a_wh.jpg,キャビット3段100cm×40cm,ホワイト,WHITE,キャビット3段,6
17140,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット60×30_3段\amazon\a_bk.jpg,キャビット3段60cm×30cm,ブラック,BLACK,キャビット3段,6
17141,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【ZSG】キャビット60×30_3段\amazon\a_wh.jpg,キャビット3段60cm×30cm,ホワイト,WHITE,キャビット3段,6
