item_code,image_path,product_name,color_jp,color_en,page_product_name,ページ枚数
13266,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】プリモ\Amazon\BK.jpg,プリモ,ブラック,BLACK,プリモ,4
13267,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】プリモ\Amazon\WH.jpg,プリモ,ホワイト,WHITE,プリモ,4
13268,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】プリモ\Amazon\WN.jpg,プリモ,ウォルナット,WALNUT,プリモ,4
13269,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】プリモ\Amazon\OAK.jpg,プリモ,オーク,OAK,プリモ,4
13265,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】レガリア\amazon\whm.jpg,レガリア,ホワイトメープル,WHITE MAPLE,レガリア,4
14652,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】レガリア\amazon\wn.jpg,レガリア,ウォルナット,WALNUT,レガリア,4
16308,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】レガリア\amazon\a_mb.jpg,レガリア,マーブル,MARBLE,レガリア,4
17018,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【GRIP】レガリア\amazon\a_wh.jpg,レガリア,ホワイト,WHITE,レガリア,4
