item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数
13198,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ダスク\Amazon\img_gry.jpg,ダスク,グレー,GREY,ダスク,3
13199,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ダスク\Amazon\img_br.jpg,ダスク,ダークブラウン,DARK BROWN,ダスク,3
15681,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ダスク\Amazon\image_bk.jpg,ダスク,ブラック,BLACK,ダスク,3
