ページ名,ステータス,ログ,カード枚数
アスベル,正常,,2
アメリー 3P,正常,,4
キシリア,正常,,2
クノーケ,正常,,4
コージー1P,正常,,6
コージー2P,正常,,8
デランナ,スキップ,ユーザーによりスキップされました,0
デランナ3P,正常,,4
トルメキア2P,正常,,3
ナシュア,正常,,1
ノーマン,正常,,5
ヒューゴ,正常,,3
プルミエ,正常,,8
プルミエ2P,正常,,6
プルミエ3P,正常,,3
プルミエE,スキップ,ユーザーによりスキップされました,0
ユニゾン,正常,,3
ユニゾン2P,正常,,2
ラフォーレ,正常,,4
レパードFAB,正常,,3
