item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数,ステータス,エラーログ
12929,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\BR.jpg,Cミニ,ブラウン,BROWN,コロンミニ,8,正常,
12930,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\BE.jpg,Cミニ,ベージュ,BEIGE,コロンミニ,8,正常,
12931,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\GRY.jpg,Cミニ,グレー,GREY,コロンミニ,8,正常,
12932,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\NV.jpg,Cミニ,ネイビー,NAVY,コロンミニ,8,正常,
12933,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\BK.jpg,Cミニ,ブラック,BLACK,コロンミニ,8,正常,
14327,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\a_bk_pvc.jpg,Cミニ,ブラック【レザ-調】,BLACK,コロンミニ,8,正常,
14328,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\a_br_pvc.jpg,Cミニ,ブラウン【レザ-調】,BROWN,コロンミニ,8,正常,
14329,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】コロン ミニ\Amazon\a_gn_pvc.jpg,Cミニ,グリーン【レザ-調】,GREEN,コロンミニ,8,正常,
14427,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\A_01_BR.jpg,ヌイ,ブラウン,BROWN,ヌイ_1,6,正常,
14428,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\A_01_BE.jpg,ヌイ,ベージュ,BEIGE,ヌイ_1,6,正常,
14429,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\A_01_NV.jpg,ヌイ,ネイビー,NAVY,ヌイ_1,6,正常,
14430,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\A_01_rd.jpg,ヌイ,レッド,RED,ヌイ_1,6,正常,
14431,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\A_01_GR.jpg,ヌイ,グリーン,GREEN,ヌイ_1,6,正常,
14432,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_GRY.jpg,ヌイ,グレー,GREY,ヌイ_1,6,正常,
14433,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_IV.jpg,ヌイ,アイボリー,IVORY,ヌイ_2,6,正常,
14434,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_BK.jpg,ヌイ,ブラック,BLACK,ヌイ_2,6,正常,
14435,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_KH.jpg,ヌイ,カーキ,KHAKI,ヌイ_2,6,正常,
14436,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_PW_BL.jpg,ヌイ,パッチワークブルー,PATCHWORK BLUE,ヌイ_2,6,正常,
14437,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_PW_BR.jpg,ヌイ,パッチワークブラウン,PATCHWORK BROWN,ヌイ_2,6,正常,
14438,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【XIN】ヌイ\Amazon\a_PW_GN.jpg,ヌイ,パッチワークグリーン,PATCHWORK GREEN,ヌイ_2,6,正常,
