item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数,ステータス,エラーログ
18165,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】アイザック\amazon\a_main_be.jpg,アイザック,ベージュ,BEIGE,アイザック,2,正常,
18166,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】アイザック\amazon\a_main_br.jpg,アイザック,ブラウン,BROWN,アイザック,2,正常,
18163,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】サイラス\amazon\a_be.jpg,サイラス,ベージュ,BEIGE,サイラス,2,正常,
18164,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】サイラス\amazon\a_br.jpg,サイラス,ブラウン,BROWN,サイラス,2,正常,
18161,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】ジャスパー\amazon\a_be.jpg,ジャスパー,ベージュ,BEIGE,ジャスパー,2,正常,
18162,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】ジャスパー\amazon\a_br.jpg,ジャスパー,ブラウン,BROWN,ジャスパー,2,正常,
18159,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】マイルズ\amazon\a_be.jpg,マイルズ,ベージュ,BEIGE,マイルズ,2,正常,
18160,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【YC】マイルズ\amazon\a_br.jpg,マイルズ,ブラウン,BROWN,マイルズ,2,正常,
