item_code,image_path,product_name,color_jp,color_en,page_product_name,1ページのカード枚数,ステータス,エラーログ
17828,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【JY】リブラ70×40\amazon\amazon\a_br.jpg,リブラ70×40,ブラウン,BROWN,リブラ70×40,4,正常,
17829,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【JY】リブラ70×40\amazon\amazon\a_wh.jpg,リブラ70×40,ホワイト,WHITE,リブラ70×40,4,正常,
17830,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【JY】リブラ70×40\amazon\amazon\a_mb.jpg,リブラ70×40,マーブル,MARBLE,リブラ70×40,4,正常,
17831,G:\共有ドライブ\［社内共有］0103_デザイン部（制作関連）\02_WEB制作関連\01_商品ページ\【JY】リブラ70×40\amazon\amazon\a_sg.jpg,リブラ70×40,ストーングレイン,STONE GREY,リブラ70×40,4,正常,
